key	current_en	en	zh-TW	context	placeholders	constraints	status	source
browser.auth.warning	YOU SHALL NOT PASS!!			Decorative warning above browser authorization.		Remove only decoration. Preserve authorization gate, launcher ID and recovery actions.	remove	templates/index.html:1349
browser.auth.required	Unauthorized browser	Browser authorization required	需要瀏覽器授權	Terminal access gate after initial StandTerm access.		Do not confuse browser authorization with launcher access or Agent access.	proposed	templates/index.html:1350
browser.auth.instructions	First time? Please use an Auth URL.	Paste a browser authorization URL to continue.	貼上瀏覽器授權網址以繼續。	Instruction for the URL containing the one-time authorize grant.		Keep browser authorization URL distinct from the launcher Access URL.	proposed	templates/index.html:5756
browser.auth.submit	OK	Authorize browser	授權瀏覽器	Submit the browser authorization URL.		Button names intent; navigation and validation do not imply successful authorization.	proposed	templates/index.html:1354
browser.auth.opening	Opening the gate...	Opening authorization URL…	正在開啟授權網址…	Navigation after syntactic URL checks.		Do not say authorized or connected before the server confirms it.	proposed	templates/index.html:8518
browser.auth.download	Download authorization file manually	Download authorization file	下載授權檔	Manual browser authorization fallback.		Downloading does not complete authorization; preserve adjacent manual placement help and automatic checking.	proposed	templates/index.html:1359
browser.connection.unavailable	Server not available	Cannot reach StandTerm	無法連線至 StandTerm	Browser cannot reach the Core service.		Do not assert the server has stopped, restarted or lost terminal sessions.	proposed	templates/index.html:1335
browser.connection.retry	Retry Now	Reconnect now	立即重新連線	Explicit retry of the browser socket connection.		Does not resend terminal input, repeat a file copy, or reconnect SSH by itself.	proposed	templates/index.html:7824
browser.connection.unavailable_hint	StandTerm is not running or cannot be reached. This page will keep checking and reconnect automatically. If the server restarted, you may be asked for the current access token.	This page will keep trying to reconnect. If StandTerm restarted, use the access token from its current launcher.	此頁面會持續嘗試重新連線。若 StandTerm 已重新啟動，請使用目前啟動器提供的存取權杖。	Adjacent explanation of automatic connection retries.		Do not imply terminal commands or failed transfers are retried.	proposed	templates/index.html:1336
browser.recovery.title	Recover StandTerm session	Restore StandTerm access	恢復 StandTerm 存取	Expired/missing session recovery dialog.		Restore UI access, not a terminated shell or a grant to every terminal.	proposed	templates/index.html:1651
browser.recovery.hint	Use a registered device to recover a live session, or enter the access token printed by the current launcher. A restarted server always requires its current token.	Use a device registered for this hostname and enabled for a still-valid session, or enter the current launcher’s access token. After StandTerm restarts, use the current access token.	使用已於此主機名稱註冊、且已為仍有效的工作階段啟用復原功能的裝置，或輸入目前啟動器提供的存取權杖。StandTerm 重新啟動後，請使用目前的存取權杖。	Recovery eligibility and restart boundary beside short buttons.		Keep hostname registration, live-session binding and restart restrictions. Share the explanation across both surfaces; do not promise terminal process restoration.	proposed	templates/index.html:1652; app.py:5708
browser.recovery.token_label		Access token	存取權杖	Visible and accessible label for the recovery password input; also matches initial access form.		Explicitly identifies launcher access token, not Agent token. Empty baseline means new label on recovery dialog.	proposed	templates/index.html:1654; app.py:5701
browser.recovery.submit	Unlock	Use access token	使用存取權杖	Submit token to /login on initial gate and recovery dialog.		Keep POST /login and token validation unchanged. Do not call this Agent authorization.	proposed	templates/index.html:1655; app.py:5703
browser.recovery.device	Recover live session with device	Verify with device	使用裝置驗證	Platform credential verification; full eligibility stays in adjacent help.		Do not advertise as a bypass after Core restart or as proof that a registered/armed credential exists.	proposed	templates/index.html:1657; app.py:5706
browser.recovery.saved	Use remembered token	Use saved access token	使用已儲存的存取權杖	Use the existing browser token vault value.		Do not imply the saved token is guaranteed valid or that Agent credentials are reused.	proposed	templates/index.html:1658
